1001	1001	1	1002	0	0	0	0	0
1006	1006	1	1007	0	0	0	0	0
1011	1011	1	1012	0	0	0	0	0
1002	1002	1	1003	0	0	0	0	0
1007	1007	1	1008	0	0	0	0	0
1012	1012	1	1013	0	0	0	0	0
1003	1003	1	1004	0	0	0	0	0
1008	1008	1	1009	0	0	0	0	0
1013	1013	1	1014	0	0	0	0	0
1004	1004	1	1005	0	0	0	0	0
1009	1009	1	1010	0	0	0	0	0
1014	1014	1	1015	0	0	0	0	0
2001	2001	1	2002	0	0	0	0	0
2006	2006	1	2007	0	0	0	0	0
2011	2011	1	2012	0	0	0	0	0
2016	2016	1	2017	0	0	0	0	0
2021	2021	1	2022	0	0	0	0	0
2026	2026	1	2027	0	0	0	0	0
2002	2002	1	2003	0	0	0	0	0
2007	2007	1	2008	0	0	0	0	0
2012	2012	1	2013	0	0	0	0	0
2017	2017	1	2018	0	0	0	0	0
2022	2022	1	2023	0	0	0	0	0
2027	2027	1	2028	0	0	0	0	0
2003	2003	1	2004	0	0	0	0	0
2008	2008	1	2009	0	0	0	0	0
2013	2013	1	2014	0	0	0	0	0
2018	2018	1	2019	0	0	0	0	0
2023	2023	1	2024	0	0	0	0	0
2028	2028	1	2029	0	0	0	0	0
2004	2004	1	2005	0	0	0	0	0
2009	2009	1	2010	0	0	0	0	0
2014	2014	1	2015	0	0	0	0	0
2019	2019	1	2020	0	0	0	0	0
2024	2024	1	2025	0	0	0	0	0
2029	2029	1	2030	0	0	0	0	0
1001	2001	1	3001	0	0	0	0	0
1006	2001	1	3002	0	0	0	0	0
1011	2001	1	3003	0	0	0	0	0
1001	2006	1	3016	0	0	0	0	0
1006	2006	1	3017	0	0	0	0	0
1011	2006	1	3018	0	0	0	0	0
1001	2011	1	3031	0	0	0	0	0
1006	2011	1	3032	0	0	0	0	0
1011	2011	1	3033	0	0	0	0	0
1001	2016	1	3046	0	0	0	0	0
1006	2016	1	3047	0	0	0	0	0
1011	2016	1	3048	0	0	0	0	0
1001	2021	1	3061	0	0	0	0	0
1006	2021	1	3062	0	0	0	0	0
1011	2021	1	3063	0	0	0	0	0
1001	2026	1	3076	0	0	0	0	0
1006	2026	1	3077	0	0	0	0	0
1011	2026	1	3078	0	0	0	0	0
1002	2002	1	3004	0	0	0	0	0
1007	2002	1	3005	0	0	0	0	0
1012	2002	1	3006	0	0	0	0	0
1002	2007	1	3019	0	0	0	0	0
1007	2007	1	3020	0	0	0	0	0
1012	2007	1	3021	0	0	0	0	0
1002	2012	1	3034	0	0	0	0	0
1007	2012	1	3035	0	0	0	0	0
1012	2012	1	3036	0	0	0	0	0
1002	2017	1	3049	0	0	0	0	0
1007	2017	1	3050	0	0	0	0	0
1012	2017	1	3051	0	0	0	0	0
1002	2022	1	3064	0	0	0	0	0
1007	2022	1	3065	0	0	0	0	0
1012	2022	1	3066	0	0	0	0	0
1002	2027	1	3079	0	0	0	0	0
1007	2027	1	3080	0	0	0	0	0
1012	2027	1	3081	0	0	0	0	0
1003	2003	1	3007	0	0	0	0	0
1008	2003	1	3008	0	0	0	0	0
1013	2003	1	3009	0	0	0	0	0
1003	2008	1	3022	0	0	0	0	0
1008	2008	1	3023	0	0	0	0	0
1013	2008	1	3024	0	0	0	0	0
1003	2013	1	3037	0	0	0	0	0
1008	2013	1	3038	0	0	0	0	0
1013	2013	1	3039	0	0	0	0	0
