50001,인벤토리 확장,2,100,4,144,6,207,8,298,10,429,12,619,14,891,16,1283,18,1848,20,2662,22,3833,24,5520,26,7949,28,11447,30,16484,32,23737,34,34182,36,49222,38,70880,40,102067
50002,클릭당 게이지 증가,2,100,4,144,6,207,8,298,10,429,12,619,14,891,16,1283,18,1848,20,2662,22,3833,24,5520,26,7949,28,11447,30,16484,32,23737,34,34182,36,49222,38,70880,40,102067
50003,아이템 타이머1 시간 감소,-5,100,-10,144,-15,207,-20,298,-25,429,-30,619,-35,891,-40,1283,-45,1848,-50,2662,-55,3833,-60,5520,-65,7949,-70,11447,-75,16484,-80,23737,-85,34182,-90,49222,-95,70880,-100,102067
50004,아이템 타이머1에서 좋은 아이템 나올 확률 증가,1,100,2,144,3,207,4,298,5,429,6,619,7,891,8,1283,9,1848,10,2662,11,3833,12,5520,13,7949,14,11447,15,16484,16,23737,17,34182,18,49222,19,70880,20,102067
50005,판매시 골드 추가 지급,5,100,10,144,15,207,20,298,25,429,30,619,35,891,40,1283,45,1848,50,2662,55,3833,60,5520,65,7949,70,11447,75,16484,80,23737,85,34182,90,49222,95,70880,100,102067
50006,아이템 타이머2 시간 감소,-5,100,-10,144,-15,207,-20,298,-25,429,-30,619,-35,891,-40,1283,-45,1848,-50,2662,-55,3833,-60,5520,-65,7949,-70,11447,-75,16484,-80,23737,-85,34182,-90,49222,-95,70880,-100,102067
50007,아이템 타이머2에서 좋은 아이템 나올 확률 증가,1,100,2,144,3,207,4,298,5,429,6,619,7,891,8,1283,9,1848,10,2662,11,3833,12,5520,13,7949,14,11447,15,16484,16,23737,17,34182,18,49222,19,70880,20,102067
50008,지구본에서 한 단계 상위 아이템 나올 확률 증가,1,100,2,144,3,207,4,298,5,429,6,619,7,891,8,1283,9,1848,10,2662,11,3833,12,5520,13,7949,14,11447,15,16484,16,23737,17,34182,18,49222,19,70880,20,102067
50009,조합 시 한 단계 상위 아이템 나올 확률 증가,1,100,2,144,3,207,4,298,5,429,6,619,7,891,8,1283,9,1848,10,2662,11,3833,12,5520,13,7949,14,11447,15,16484,16,23737,17,34182,18,49222,19,70880,20,102067
50010,아이템 타이머3 시간 감소,-5,100,-10,144,-15,207,-20,298,-25,429,-30,619,-35,891,-40,1283,-45,1848,-50,2662,-55,3833,-60,5520,-65,7949,-70,11447,-75,16484,-80,23737,-85,34182,-90,49222,-95,70880,-100,102067
50011,아이템 타이머3에서 좋은 아이템 나올 확률 증가,1,100,2,144,3,207,4,298,5,429,6,619,7,891,8,1283,9,1848,10,2662,11,3833,12,5520,13,7949,14,11447,15,16484,16,23737,17,34182,18,49222,19,70880,20,102067
50012,"골드 2배 인벤토리 2배 좋은 아이템 2배 아이템 두개 나올 확률 2배"
